RODDID,serviceID
5,41
6,61
8,43
9,43
11,33
12,33
13,44
14,44
15,816
16,816
17,45
18,62
19,32
22,47
23,63
24,35
28,137
29,137
31,825
32,137
37,816
40,816
41,816
42,816
43,141
45,827
46,825
47,71
58,137
59,138
65,141
66,141
67,71
68,137
73,141
84,
85,132
87,141
88,804
89,795
90,825
103,36
104,
109,795
115,17
116,17
119,804
121,17
122,804
124,825
125,799
127,134
128,135
135,134
136,135
139,49
141,51
150,53
151,66
152,816
164,71
166,55
167,57
168,57
169,56
171,57
172,57
174,93
175,92
180,92
181,92
182,92
184,804
187,825
188,804
189,17
191,16
193,59
194,67
195,72
196,85
197,156
198,107
200,134
201,135
202,70
203,16
204,816
205,816
206,105
207,100
208,106
211,149
213,125
214,131
220,137
224,809
225,809
230,791
234,825
235,14
236,825
237,71
239,816
243,16
280,825
281,13
283,71
288,17
289,144
290,144
291,144
292,144
293,144
295,146
296,144
299,144
309,85
310,85
311,825
312,799
313,70
314,71
319,804
327,71
331,71
332,141
334,70
335,71
336,141
337,17
345,825
348,822
43,143
45,828
68,142
65,143
66,143
88,799
88,795
89,799
89,804
109,804
109,799
119,799
119,795
122,799
122,795
125,795
125,804
184,795
184,799
188,799
188,795
207,101
206,104
213,124
213,123
213,127
213,126
211,148
211,150
211,147
214,130
214,128
214,129
263,71
312,804
312,795
319,799
319,795
127,136
135,136
343,15
344,15
303,
350,15
351,108
352,108
354,17
355,17
357,92
